 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
1	0.1	670.783340479	144.65447753356614
2	0.2	707.572515098	144.01415607011805
3	0.3	552.832453363	113.07892466841577
4	0.4	582.904782163	85.46238365584841
5	0.5	527.386027004	104.134082321104
6	0.6	541.51738987	96.24986488209636
7	0.7	578.015358342	99.71969414384819
8	0.8	533.53113329	120.61116696018856
9	0.9	569.910175653	131.91524605375835
10	0.10	548.396201378	99.88033100989979
11	0.11	623.529702467	133.6219331125243
12	0.12	644.384951167	128.99033583104986
13	0.13	548.376117025	104.22698843834795
14	0.14	584.830023502	113.10985452950042
15	0.15	620.282949113	108.37325376858276
16	0.16	691.186811124	133.46931487491247
17	0.17	579.664361639	119.24579318120887
18	0.18	571.373477155	102.33029036290469
19	0.19	594.255774461	118.27646498895643
20	0.20	559.70931714	110.1884660913187
21	0.21	592.90036486	122.20782141085054
22	0.22	534.729644705	123.51468123237859
23	0.23	554.239691217	122.52915428030012
24	0.24	634.500334109	123.64942756970534
25	0.25	516.258339187	99.0186909996736
26	0.26	537.695391292	97.62260815374927
27	0.27	588.43402809	112.1780319220945
28	0.28	639.369369049	139.96292635111405
29	0.29	588.889675167	117.97870295480558
30	0.30	599.51837201	106.55064225632125
31	0.31	537.736788357	96.66527812782724
32	0.32	555.284113551	86.33149351800361
33	0.33	638.499263655	139.23499009776364
34	0.34	628.186211281	119.43047749121826
35	0.35	757.062463949	147.34507647803497
36	0.36	579.302194913	136.23567634873208
37	0.37	564.91432523	94.89844881888763
38	0.38	621.9776994	114.63361231146308
39	0.39	610.103572884	99.63212437093325
40	0.40	554.185138869	102.28777221397331
41	0.41	565.975993622	102.50336665700058
42	0.42	709.790463977	145.3491488120627
43	0.43	551.541201318	104.61791564230965
44	0.44	nan	nan
45	0.45	570.164971234	107.84393376740547
46	0.46	599.196802272	117.15479332821177
47	0.47	563.363675881	112.69412510923956
48	0.48	624.433792299	119.05639008577478
49	0.49	592.976633859	141.7884699679509
50	0.50	629.686521428	128.4352985023366
51	0.51	591.701424908	131.14090855913543
52	0.52	512.205471928	98.82004882211142
53	0.53	674.155962648	146.491589123249
54	0.54	670.616422791	147.1380297445838
55	0.55	641.747083733	138.07933398254823
56	0.56	642.632798958	135.2669379014126
57	0.57	570.173480787	106.81793049595223
58	0.58	566.736049141	96.70837380161306
59	0.59	580.367195523	111.8756971360786
60	0.60	599.915230544	129.86245397566572
61	0.61	588.768865077	143.84734831687166
62	0.62	569.234617347	121.93442636672748
63	0.63	574.368505757	112.283610712923
64	0.64	512.653574238	116.08162396384759
65	0.65	580.80568919	102.6220739271364
