Name	Param_Type	Reference_value	Constant	Modifiable	Unit	Removeable	Operation	Det_Type	Det_Kind	Det_Range	Ran_Type	Ran_Has_CoV	Ran_CoV	Ran_Params	Ran_Moments
"i_Stator_OD"	Optimization	400	0	0	""	1	""	REAL	Continuous	"360:440"					
"i_Tooth_Width_Ratio"	Optimization	0.6	0	0	""	1	""	REAL	Continuous	"0.54:0.66"					
"i_Split_Ratio"	Optimization	0.7	0	0	""	1	""	REAL	Continuous	"0.63:0.77"					
"i_Slot_Op_Ratio"	Optimization	0.8	0	0	""	1	""	REAL	Continuous	"0.72:0.88"					
"i_Active_Length"	Optimization	130	0	0	""	1	""	REAL	Continuous	"117:143"					
"L2_Web_Thickness"	Optimization	0.69	0	0	""	1	""	REAL	Continuous	"0.621:0.759"					
"L2_Web_Length"	Optimization	0.064	0	0	""	1	""	REAL	Continuous	"0.0576:0.0704"					
"L2_Pole_Arc"	Optimization	0.25	0	0	""	1	""	REAL	Continuous	"0.225:0.275"					
"L2_Magnet_Thickness"	Optimization	5.4	0	0	""	1	""	REAL	Continuous	"4.86:5.94"					
"L2_Magnet_Separation"	Optimization	0	0	0	""	1	""	REAL	Continuous	"-1:1"					
"L2_Magnet_Segments"	Optimization	1	0	0	""	1	""	REAL	Continuous	"0.9:1.1"					
"L2_Magnet_Post"	Optimization	0	1	0	""	1	""	REAL	Continuous	"-1:1"					
"L2_Magnet_Bar_Width"	Optimization	0.8	0	0	""	1	""	REAL	Continuous	"0.72:0.88"					
"L2_Bridge_Thickness"	Optimization	1.5	0	0	""	1	""	REAL	Continuous	"1.35:1.65"					
"L1_Web_Thickness"	Optimization	0.15	0	0	""	1	""	REAL	Continuous	"0.135:0.165"					
"L1_Web_Length"	Optimization	0.104	0	0	""	1	""	REAL	Continuous	"0.0936:0.1144"					
"L1_Pole_V_angle"	Optimization	112	0	0	""	1	""	REAL	Continuous	"100.8:123.2"					
"L1_Pole_Arc"	Optimization	0.9	0	0	""	1	""	REAL	Continuous	"0.81:0.99"					
"L1_Magnet_Thickness"	Optimization	5.2	0	0	""	1	""	REAL	Continuous	"4.68:5.72"					
"L1_Magnet_Separation"	Optimization	6.2	0	0	""	1	""	REAL	Continuous	"5.58:6.82"					
"L1_Magnet_Segments"	Optimization	1	0	0	""	1	""	REAL	Continuous	"0.9:1.1"					
"L1_Magnet_Post"	Optimization	1.5	0	0	""	1	""	REAL	Continuous	"1.35:1.65"					
"L1_Magnet_Bar_Width"	Optimization	0.92	0	0	""	1	""	REAL	Continuous	"0.828:1.012"					
"L1_Bridge_Thickness"	Optimization	1.8	0	0	""	1	""	REAL	Continuous	"1.62:1.98"					
"i_YtoT"	Optimization	2.5	0	0	""	1	""	REAL	Continuous	"2.25:2.75"					
"i_TurnLab"	Optimization	11	1	0	""	1	""	REAL	Continuous	"9.9:12.1"					
