Type in user Duty Cycle notes here
BPM
Universal_Format
Duty_Cycle_Definition=2
Duty_Cycle_Input_Type=1
Duty_Cycle_Drive_Type=0
Duty_Cycle_DC_Bus_Voltage_Definition=0
Duty_Cycle_Gear_Ratio_Definition=0
Vehicle_Speed_Units=km/h
Duty_Cycle_Data=
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Banding	Sleeve	Vehicle Speed [Start]	Vehicle Speed [End]	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage	Gear Ratio
1	20	20	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
2	40	20	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
3	60	20	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
4	80	20	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
5	100	20	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
6	200	100	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
7	400	200	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
8	800	400	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
9	1600	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
10	2400	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
11	3200	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
12	4000	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
13	4800	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
14	5600	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
15	6400	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
16	7200	800	4	1	1	269.337	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	54	4000	4000	0	40	0	100	4.113
