 	Design Numbers	obj_o_Wh_Loss	obj_o_Weight_Act
1	0.9119	479.7201367214926	152.414495999402
2	0.9940	479.7201367214926	152.414495999402
3	0.7325	479.72820326758904	152.4136552282
4	0.9791	479.7446056513253	152.39200809155452
5	0.4543	479.76464943688796	152.37540970806003
6	0.5003	479.8243666669047	152.34931930093148
7	0.2865	479.8815540923384	152.241371744018
8	0.4564	479.93441432291314	151.8989301711589
9	0.5996	479.936623569659	151.85078183671655
10	0.8914	479.9625348277413	151.73439780343546
11	0.5570	479.9852690947139	151.71610477939106
12	0.3981	480.05034002097403	151.55578610376136
13	0.9766	480.18560236547535	151.16744623244654
14	0.3364	480.27424850137703	150.99145361210452
15	0.2515	480.3400948816228	150.89837649467452
16	0.8806	480.38341537816126	150.78903117093392
17	0.1602	480.4414156469295	150.61225675484803
18	0.4205	480.5590835004325	150.33486550216315
19	0.7791	480.7320446589078	149.95637046061853
20	0.8514	481.0166802842637	149.28024242942865
21	0.3790	481.1432808494788	149.23019768957414
22	0.4631	481.2441858452642	148.89606985038336
23	0.5584	481.4150483382916	148.4746112128481
24	0.4776	481.5329853183032	148.40046391555654
25	0.8038	481.6378376947754	148.0431983714447
26	0.9556	481.6378376947754	148.0431983714447
27	0.8349	481.6427625778464	148.0391532942147
28	0.8422	481.72913679243203	147.96914979069447
29	0.5630	481.75857998621035	147.9558844030595
30	0.2423	481.80277929034264	147.95576130707218
31	0.5830	481.81419820795645	147.8573106273265
32	0.7637	482.0020062093898	147.8220330966932
33	0.5248	482.02274208463876	147.60480272279392
34	0.2866	482.2968409608425	147.1610561717078
35	0.1942	482.34261931855343	147.10395658756994
36	0.2021	482.3709680175127	147.07138487308828
37	0.6244	482.4848301242294	146.61559839283467
38	0.2522	482.7173669553204	146.52543842099783
39	0.6426	482.89134556250104	146.17074504368367
40	0.3969	483.07128134558627	146.01728541204614
41	0.5429	483.18169581787845	145.7518568722169
42	0.9407	483.3237882998619	145.3274772941515
43	0.8781	483.51279004728934	145.03915068075958
44	0.6858	483.9331915782541	144.541082545954
45	0.8233	484.1444198033113	144.51699908468566
46	0.4319	484.37102404126324	144.3141415361834
47	0.4163	484.4027992655422	144.29098421047914
48	0.9651	484.4385908575778	143.7628187539537
49	0.9853	484.5152570686212	143.74386792104377
50	0.9414	484.5345034486379	143.72037507961073
51	0.9246	484.6761296960993	143.62798878748828
52	0.7891	484.7516193438038	143.3445747592907
53	0.8757	484.7516193438038	143.3445747592907
54	0.9162	484.7516193438038	143.3445747592907
55	0.8941	484.7516193438038	143.3445747592907
56	0.7825	484.7516193438038	143.3445747592907
57	0.8769	484.7516193438038	143.3445747592907
58	0.8590	484.7516193438038	143.3445747592907
59	0.7819	484.75795310845456	143.3445716745182
60	0.8037	484.76067339595795	143.34444078267182
61	0.5867	484.7686609053286	143.34088218652187
62	0.6082	484.7901437485636	143.3402702986357
63	0.4593	484.9579387741901	143.3217252756039
64	0.9216	485.04093124099364	143.02529622978312
65	0.7623	485.24138455304376	142.9923842288221
66	0.9760	485.26506091440064	142.74038797508695
67	0.5995	485.2950843775818	142.65302878650124
68	0.6206	485.4794976757125	142.51103178595827
69	0.7769	485.80605970260865	142.26662111573552
70	0.8981	485.8958877193371	142.03191277709934
71	0.9431	486.0839824846353	142.00625905887838
72	0.6499	486.32942771130377	141.70189820836092
73	0.5737	486.5048823140732	141.20574330251637
74	0.4912	486.7134326722982	141.0488954666327
75	0.1328	487.05561954050563	140.99572028064142
76	0.1583	487.05561954050563	140.99572028064142
77	0.6709	487.09348145694474	140.87341705186134
78	0.5774	487.41022525558645	140.23044346754915
79	0.4931	487.6950981711728	139.9072341508305
