Correlation matrix
	i_Stator_OD	i_Tooth_Width_Ratio	i_Split_Ratio	i_Slot_Op_Ratio	i_Active_Length	L2_Web_Thickness	L2_Web_Length	L2_Pole_Arc	L2_Magnet_Thickness	L2_Magnet_Separation	L2_Magnet_Segments	L2_Magnet_Post	L2_Magnet_Bar_Width	L2_Bridge_Thickness	L1_Web_Thickness	L1_Web_Length	L1_Pole_V_angle	L1_Pole_Arc	L1_Magnet_Thickness	L1_Magnet_Separation	L1_Magnet_Segments	L1_Magnet_Post	L1_Magnet_Bar_Width	L1_Bridge_Thickness	i_YtoT	i_TurnLab	o_LabCurrentJ	o_Maxtorque	o_Op1_Jrms	o_Op1_copper_area	o_Op1_ipk	o_Op2_Jrms	o_Op2_copper_area	o_Op2_ipk	o_Op2_max_temp	o_Op3_Jrms	o_Op3_copper_area	o_Op3_ipk	o_TorqueVolumeDensity	o_TorqueWeightDensity	o_Weight_Act	o_Weight_Mag	o_Weight_Rot_Core	o_Wh_Loss	o_Wh_Shaft	o_Wh_input	constr_o_Op2_max_temp	obj_o_Wh_Loss	obj_o_Weight_Act
obj_o_Weight_Act	0.929946	-0.0170009	0.00708281	-0.0171647	0.330024	-0.00744719	0.00205877	-0.00311283	0.00293397	0.02484	0.00828433	0.016986	0.0462437	-0.0365833	0.0128248	-0.0128463	0.0302946	-0.0152194	-0.00130972	-0.012853	0.00390114	-0.00140454	0.0113322	-0.0172199	-0.034004	0.0113017	-0.795566	0.865945	-0.925484	0.803582	-0.708096	-0.839458	0.803582	-0.681232	-0.891102	-0.667179	0.803582	0.633699	-0.662146	-0.698697	1	0.73291	0.997967	-0.848082	0.32914	-0.843443	0.891102	-0.848082	1
obj_o_Wh_Loss	-0.764983	0.0986412	0.00140415	0.0425813	-0.35059	0.00992816	-0.0192033	-0.0983579	-0.0485077	-0.0370086	-0.0117035	-0.000765217	-0.119704	0.0614474	0.0164275	0.00159688	0.0750391	0.209742	-0.0769439	0.0349876	0.0192144	0.0107647	-0.356308	0.049751	0.0588797	-0.0999815	0.713664	-0.869154	0.877959	-0.702764	0.777853	0.795758	-0.702764	0.750392	0.942558	0.535628	-0.702764	-0.681794	0.337299	0.410118	-0.848082	-0.824518	-0.832959	1	-0.436539	0.999785	-0.942558	1	-0.848082
constr_o_Op2_max_temp	0.809654	-0.117217	-0.0155076	-0.030111	0.361123	-0.00678236	0.010963	0.079321	0.0382712	0.025526	0.0145407	0.00305972	0.0893073	-0.0535874	-0.0127535	-0.00407473	0.0101528	-0.296532	0.0463509	-0.0141013	-0.0116555	0.00200263	0.0887453	-0.0319951	-0.114417	0.029807	-0.779578	0.842331	-0.923799	0.75855	-0.718305	-0.909605	0.75855	-0.845463	-1	-0.642263	0.75855	0.611373	-0.485949	-0.541987	0.891102	0.728812	0.884699	-0.942558	0.437351	-0.936582	1	-0.942558	0.891102
o_Wh_input	-0.758147	0.0930041	0.000871656	0.0423838	-0.355994	0.00999094	-0.019484	-0.0987864	-0.0493489	-0.0374447	-0.0108996	-1.32394e-05	-0.120815	0.062162	0.0164505	0.00180802	0.0782778	0.202051	-0.078955	0.0359087	0.0199457	0.0114491	-0.36816	0.0500021	0.0540391	-0.107823	0.703815	-0.870655	0.870713	-0.693389	0.783322	0.783844	-0.693389	0.74428	0.936582	0.522647	-0.693389	-0.68182	0.326105	0.39853	-0.843443	-0.829268	-0.827789	0.999785	-0.434366	1	-0.936582	0.999785	-0.843443
o_Wh_Shaft	0.305483	-0.0106115	-0.0234447	-0.0698792	0.112632	0.00484546	-0.0622729	0.0978948	0.0526562	-0.0279497	0.0254929	0.0339962	0.0386262	-0.0228152	-0.0107404	-0.0205199	-0.074018	-0.333946	0.0473083	-0.033802	0.0419316	0.0371058	0.105208	0.0193048	0.0216367	0.142331	-0.26235	0.3852	-0.348941	0.256908	-0.420033	-0.338893	0.256908	-0.453087	-0.437351	-0.133064	0.256908	0.348742	-0.0466273	-0.0985132	0.32914	0.325127	0.326648	-0.436539	1	-0.434366	0.437351	-0.436539	0.32914
o_Wh_Loss	-0.764983	0.0986412	0.00140415	0.0425813	-0.35059	0.00992816	-0.0192033	-0.0983579	-0.0485077	-0.0370086	-0.0117035	-0.000765217	-0.119704	0.0614474	0.0164275	0.00159688	0.0750391	0.209742	-0.0769439	0.0349876	0.0192144	0.0107647	-0.356308	0.049751	0.0588797	-0.0999815	0.713664	-0.869154	0.877959	-0.702764	0.777853	0.795758	-0.702764	0.750392	0.942558	0.535628	-0.702764	-0.681794	0.337299	0.410118	-0.848082	-0.824518	-0.832959	1	-0.436539	0.999785	-0.942558	1	-0.848082
o_Weight_Rot_Core	0.936672	0.000212374	0.00593799	-0.0158697	0.306477	-0.00719004	0.00196943	-0.00549264	-0.0162645	0.0242545	0.00799628	0.0165303	0.041854	-0.036342	0.012988	-0.0120987	0.0531975	-0.0346008	-0.0365102	-0.0110379	0.00508878	0.00146616	-0.00900718	-0.0189006	-0.022939	0.0108838	-0.791039	0.85571	-0.918134	0.798048	-0.69955	-0.838515	0.798048	-0.686158	-0.884699	-0.664703	0.798048	0.622225	-0.670664	-0.709572	0.997967	0.693523	1	-0.832959	0.326648	-0.827789	0.884699	-0.832959	0.997967
o_Weight_Mag	0.567432	0.00886698	0.0145827	-0.03359	0.546364	-0.0106499	0.0124185	0.068025	0.199093	0.0267	0.0196772	0.00737085	0.126211	-0.0303024	0.0142879	-0.00533889	-0.196962	0.0574452	0.376111	-0.0489126	-0.00477466	-0.0275046	0.345862	0.00230766	-0.00729033	0.00803368	-0.473975	0.858841	-0.682108	0.478653	-0.696015	-0.570054	0.478653	-0.56	-0.728812	-0.340886	0.478653	0.69054	-0.170797	-0.195516	0.73291	1	0.693523	-0.824518	0.325127	-0.829268	0.728812	-0.824518	0.73291
o_Weight_Act	0.929946	-0.0170009	0.00708281	-0.0171647	0.330024	-0.00744719	0.00205877	-0.00311283	0.00293397	0.02484	0.00828433	0.016986	0.0462437	-0.0365833	0.0128248	-0.0128463	0.0302946	-0.0152194	-0.00130972	-0.012853	0.00390114	-0.00140454	0.0113322	-0.0172199	-0.034004	0.0113017	-0.795566	0.865945	-0.925484	0.803582	-0.708096	-0.839458	0.803582	-0.681232	-0.891102	-0.667179	0.803582	0.633699	-0.662146	-0.698697	1	0.73291	0.997967	-0.848082	0.32914	-0.843443	0.891102	-0.848082	1
o_TorqueWeightDensity	-0.806703	0.274376	0.00473058	-0.00186522	0.183348	0.00248111	0.00520789	0.122354	0.0983156	-0.0134663	0.00566371	-0.0242782	0.0943123	-0.0269832	0.0103862	0.0112934	-0.0791894	-0.190328	0.107525	-0.0246044	-0.00895338	-0.0372324	0.296073	-0.0124199	0.269161	-0.0270355	0.875304	-0.253188	0.752469	-0.872884	0.229748	0.674926	-0.872884	0.195549	0.541987	0.825412	-0.872884	-0.166291	0.984347	1	-0.698697	-0.195516	-0.709572	0.410118	-0.0985132	0.39853	-0.541987	0.410118	-0.698697
o_TorqueVolumeDensity	-0.72969	0.292683	0.00387795	-0.0117733	0.0831939	0.00341611	0.0128814	0.155497	0.116162	-0.00889588	0.00642472	-0.0253089	0.126815	-0.0391967	0.0058452	0.0144525	-0.0822604	-0.256787	0.123614	-0.0318068	-0.00850335	-0.0360263	0.358455	-0.0186302	0.298429	-0.0240977	0.823927	-0.212564	0.696734	-0.824584	0.192056	0.6198	-0.824584	0.147928	0.485949	0.788629	-0.824584	-0.101139	1	0.984347	-0.662146	-0.170797	-0.670664	0.337299	-0.0466273	0.326105	-0.485949	0.337299	-0.662146
o_Op3_ipk	0.525035	-0.0387128	0.0364256	-0.0459386	0.319578	-0.00622141	0.00143211	0.0856248	0.110233	0.0140994	0.0202491	0.0239616	0.118635	-0.0688033	0.0471702	-0.0131312	-0.0703536	-0.305129	0.090759	-0.0603732	0.019934	-0.0083394	0.331192	-0.0694997	0.0292419	-0.0225484	-0.438101	0.743779	-0.594885	0.460555	-0.580553	-0.568736	0.460555	-0.628665	-0.611373	-0.265613	0.460555	1	-0.101139	-0.166291	0.633699	0.69054	0.622225	-0.681794	0.348742	-0.68182	0.611373	-0.681794	0.633699
o_Op3_copper_area	0.849806	-0.462145	0.0096565	-0.00739578	-0.0292307	-0.00487433	-0.00147655	0.000610511	0.00797254	0.0253736	0.00392721	0.0292128	0.0208455	-0.0265362	-0.0137227	-0.00823921	0.0248519	0.0108169	-0.00127791	-0.00677556	-0.000874774	0.0142907	-0.022449	-0.0110088	-0.254861	0.0269301	-0.986249	0.475944	-0.923231	1	-0.418356	-0.847234	1	-0.419401	-0.75855	-0.882532	1	0.460555	-0.824584	-0.872884	0.803582	0.478653	0.798048	-0.702764	0.256908	-0.693389	0.75855	-0.702764	0.803582
o_Op3_Jrms	-0.734376	0.444153	0.0156175	0.00588504	0.0865122	0.0128055	-0.00769295	0.000642543	0.012184	-0.0179694	-0.0132113	-0.0286655	-0.00564812	-0.00132166	0.0320074	0.00299693	-0.0355817	-0.0563356	0.0109721	-0.0189308	-0.0123253	-0.0105459	0.0907422	0.00623704	0.248475	0.383275	0.894859	-0.333835	0.819685	-0.882532	0.0679403	0.858091	-0.882532	0.301068	0.642263	1	-0.882532	-0.265613	0.788629	0.825412	-0.667179	-0.340886	-0.664703	0.535628	-0.133064	0.522647	-0.642263	0.535628	-0.667179
o_Op2_max_temp	-0.809654	0.117217	0.0155076	0.030111	-0.361123	0.00678236	-0.010963	-0.079321	-0.0382712	-0.025526	-0.0145407	-0.00305972	-0.0893073	0.0535874	0.0127535	0.00407473	-0.0101528	0.296532	-0.0463509	0.0141013	0.0116555	-0.00200263	-0.0887453	0.0319951	0.114417	-0.029807	0.779578	-0.842331	0.923799	-0.75855	0.718305	0.909605	-0.75855	0.845463	1	0.642263	-0.75855	-0.611373	0.485949	0.541987	-0.891102	-0.728812	-0.884699	0.942558	-0.437351	0.936582	-1	0.942558	-0.891102
o_Op2_ipk	-0.541477	-0.085901	-0.00488502	0.0489691	-0.466932	-0.0125864	0.00555064	-0.107669	-0.0421536	-0.0170519	-0.0226457	-0.00765068	-0.107383	0.0573235	0.00500192	-0.00226092	-0.029186	0.644969	-0.0140735	0.0217858	-0.000132514	0.000921139	0.0351249	0.0458844	0.0212313	-0.00539223	0.426277	-0.792767	0.634632	-0.419401	0.659249	0.739693	-0.419401	1	0.845463	0.301068	-0.419401	-0.628665	0.147928	0.195549	-0.681232	-0.56	-0.686158	0.750392	-0.453087	0.74428	-0.845463	0.750392	-0.681232
o_Op2_copper_area	0.849806	-0.462145	0.0096565	-0.00739578	-0.0292307	-0.00487433	-0.00147655	0.000610511	0.00797254	0.0253736	0.00392721	0.0292128	0.0208455	-0.0265362	-0.0137227	-0.00823921	0.0248519	0.0108169	-0.00127791	-0.00677556	-0.000874774	0.0142907	-0.022449	-0.0110088	-0.254861	0.0269301	-0.986249	0.475944	-0.923231	1	-0.418356	-0.847234	1	-0.419401	-0.75855	-0.882532	1	0.460555	-0.824584	-0.872884	0.803582	0.478653	0.798048	-0.702764	0.256908	-0.693389	0.75855	-0.702764	0.803582
o_Op2_Jrms	-0.811552	0.2698	0.00942376	0.0285937	-0.190398	0.00566758	-0.00447549	-0.0614769	-0.0239178	-0.018669	-0.0255176	-0.0238868	-0.064419	0.033327	0.0177974	0.00722546	-0.0327066	0.294134	-0.0153119	-5.00709e-05	-0.00963863	-0.00155639	0.0436092	0.0304195	0.174832	0.260314	0.862175	-0.676635	0.926582	-0.847234	0.417397	1	-0.847234	0.739693	0.909605	0.858091	-0.847234	-0.568736	0.6198	0.674926	-0.839458	-0.570054	-0.838515	0.795758	-0.338893	0.783844	-0.909605	0.795758	-0.839458
o_Op1_ipk	-0.586012	-0.0986283	-0.00317134	0.014649	-0.439767	-0.00432706	0.00204143	-0.0777137	-0.0669124	-0.0261711	0.014681	0.00972468	-0.103346	0.0665277	-0.0307529	0.00667269	0.00736234	0.142033	-0.0706374	0.0229662	0.0176891	0.000232372	-0.166128	0.0120112	-0.116031	-0.581012	0.424204	-0.803854	0.617808	-0.418356	1	0.417397	-0.418356	0.659249	0.718305	0.0679403	-0.418356	-0.580553	0.192056	0.229748	-0.708096	-0.696015	-0.69955	0.777853	-0.420033	0.783322	-0.718305	0.777853	-0.708096
