Correlation matrix
	i_Stator_OD	i_Tooth_Width_Ratio	i_Split_Ratio	i_Slot_Op_Ratio	i_Active_Length	L2_Web_Thickness	L2_Web_Length	L2_Pole_Arc	L2_Magnet_Thickness	L2_Magnet_Separation	L2_Magnet_Segments	L2_Magnet_Post	L2_Magnet_Bar_Width	L2_Bridge_Thickness	L1_Web_Thickness	L1_Web_Length	L1_Pole_V_angle	L1_Pole_Arc	L1_Magnet_Thickness	L1_Magnet_Separation	L1_Magnet_Segments	L1_Magnet_Post	L1_Magnet_Bar_Width	L1_Bridge_Thickness	i_YtoT	i_TurnLab	o_LabCurrentJ	o_Maxtorque	o_Op1_Jrms	o_Op1_copper_area	o_Op1_ipk	o_Op2_Jrms	o_Op2_copper_area	o_Op2_ipk	o_Op2_max_temp	o_Op3_Jrms	o_Op3_copper_area	o_Op3_ipk	o_TorqueVolumeDensity	o_TorqueWeightDensity	o_Weight_Act	o_Weight_Mag	o_Weight_Rot_Core	o_Wh_Loss	o_Wh_Shaft	o_Wh_input	constr_o_Op2_max_temp	obj_o_Wh_Loss	obj_o_Weight_Act
obj_o_Weight_Act	0.939823	-0.0123678	0.0103538	-0.0166192	0.290303	-0.00176526	0.0111831	0.00408189	0.00143356	0.0191544	0.00175444	0.0184651	0.0534582	-0.0319376	0.0159904	-0.0194353	0.0206071	-0.0205709	0.00383906	-0.015605	0.0105797	-0.00166512	0.00634425	-0.0275619	-0.0228201	0.00528004	-0.810848	0.855469	-0.945039	0.810848	-0.685407	-0.863759	0.810848	-0.67611	-0.931869	-0.692228	0.810848	0.593996	-0.666395	-0.711585	1	0.709966	0.997829	-0.864963	0.318455	-0.859203	0.931869	-0.864963	1
obj_o_Wh_Loss	-0.779447	0.0942565	-0.0260087	0.0524633	-0.33248	0.00787044	-0.000805649	-0.0972811	-0.0518051	-0.0266882	-0.021431	-0.0115514	-0.122125	0.0730455	-0.0118798	0.0127826	0.0876978	0.195656	-0.0724839	0.0395017	0.00477283	0.0188725	-0.352755	0.0448856	0.0466195	-0.0715444	0.715667	-0.886811	0.88477	-0.715667	0.755878	0.806098	-0.715667	0.73227	0.943269	0.54088	-0.715667	-0.782734	0.354695	0.428776	-0.864963	-0.834974	-0.849824	1	-0.437199	0.999721	-0.943269	1	-0.864963
constr_o_Op2_max_temp	0.83861	-0.10508	0.0232096	-0.0405603	0.358294	-0.0010854	-0.000278325	0.0747927	0.0414307	0.0220663	0.0145894	0.0225466	0.102493	-0.0623629	0.00170035	-0.00703868	-0.0105198	-0.274287	0.0330676	-0.0310577	0.00287141	-0.0136735	0.0944418	-0.046663	-0.103375	-0.002181	-0.785191	0.877637	-0.937249	0.785191	-0.701716	-0.921709	0.785191	-0.839072	-1	-0.647243	0.785191	0.740223	-0.502622	-0.560843	0.931869	0.749241	0.925249	-0.943269	0.404704	-0.937439	1	-0.943269	0.931869
o_Wh_input	-0.772075	0.0894947	-0.026256	0.0523623	-0.337096	0.00812909	-0.0013868	-0.0967041	-0.0529066	-0.026321	-0.0210761	-0.0108743	-0.123313	0.0740186	-0.0128161	0.0124873	0.0896052	0.190003	-0.0741915	0.0394183	0.00522416	0.0192778	-0.364482	0.0446446	0.0432314	-0.0795874	0.706192	-0.887359	0.877489	-0.706192	0.761615	0.79472	-0.706192	0.72645	0.937439	0.528474	-0.706192	-0.782746	0.343783	0.417643	-0.859203	-0.839168	-0.843606	0.999721	-0.437517	1	-0.937439	0.999721	-0.859203
o_Wh_Shaft	0.289396	-0.0222525	0.00628828	-0.0633039	0.106301	-0.00334795	-0.0868494	0.11492	0.0330112	-0.0208861	0.0285497	0.0608219	0.0512276	-0.0256262	-0.0185734	-0.0302228	-0.0795735	-0.341877	0.0482931	-0.0507846	0.068306	0.0480191	0.106933	0.0135308	0.0327029	0.124692	-0.248265	0.386344	-0.33681	0.248265	-0.383264	-0.329684	0.248265	-0.421253	-0.404704	-0.134098	0.248265	0.397129	-0.0325038	-0.0854266	0.318455	0.326983	0.31478	-0.437199	1	-0.437517	0.404704	-0.437199	0.318455
o_Wh_Loss	-0.779447	0.0942565	-0.0260087	0.0524633	-0.33248	0.00787044	-0.000805649	-0.0972811	-0.0518051	-0.0266882	-0.021431	-0.0115514	-0.122125	0.0730455	-0.0118798	0.0127826	0.0876978	0.195656	-0.0724839	0.0395017	0.00477283	0.0188725	-0.352755	0.0448856	0.0466195	-0.0715444	0.715667	-0.886811	0.88477	-0.715667	0.755878	0.806098	-0.715667	0.73227	0.943269	0.54088	-0.715667	-0.782734	0.354695	0.428776	-0.864963	-0.834974	-0.849824	1	-0.437199	0.999721	-0.943269	1	-0.864963
o_Weight_Rot_Core	0.946578	0.00320972	0.00738951	-0.0132728	0.267066	-0.00141854	0.0116729	0.00239585	-0.0162545	0.0169842	0.00196732	0.0173837	0.0481381	-0.0329905	0.0151384	-0.0184525	0.0437186	-0.0373271	-0.0299301	-0.012348	0.0110531	0.00211967	-0.0119863	-0.026762	-0.0140305	0.00737127	-0.806922	0.844605	-0.937915	0.806922	-0.678191	-0.862175	0.806922	-0.6801	-0.925249	-0.690072	0.806922	0.583919	-0.67608	-0.723407	0.997829	0.671368	1	-0.849824	0.31478	-0.843606	0.925249	-0.849824	0.997829
o_Weight_Mag	0.556175	0.00145314	0.0121753	-0.0303434	0.538422	0.000378729	0.00406946	0.0555568	0.185525	0.0173888	0.00414528	-0.00615909	0.128056	-0.0414041	0.0201816	-0.00594997	-0.193009	0.0381395	0.377016	-0.0478229	-0.00375859	-0.0159894	0.338112	0.0064882	-0.00339238	-0.00871945	-0.470565	0.847026	-0.681181	0.470565	-0.669099	-0.580573	0.470565	-0.550981	-0.749241	-0.354173	0.470565	0.650805	-0.167032	-0.195378	0.709966	1	0.671368	-0.834974	0.326983	-0.839168	0.749241	-0.834974	0.709966
o_Weight_Act	0.939823	-0.0123678	0.0103538	-0.0166192	0.290303	-0.00176526	0.0111831	0.00408189	0.00143356	0.0191544	0.00175444	0.0184651	0.0534582	-0.0319376	0.0159904	-0.0194353	0.0206071	-0.0205709	0.00383906	-0.015605	0.0105797	-0.00166512	0.00634425	-0.0275619	-0.0228201	0.00528004	-0.810848	0.855469	-0.945039	0.810848	-0.685407	-0.863759	0.810848	-0.67611	-0.931869	-0.692228	0.810848	0.593996	-0.666395	-0.711585	1	0.709966	0.997829	-0.864963	0.318455	-0.859203	0.931869	-0.864963	1
o_TorqueWeightDensity	-0.814835	0.259093	0.00619307	0.00179065	0.191147	-0.00794625	-0.00393482	0.109173	0.100532	-0.0124998	0.00908548	-0.0240562	0.0886527	-0.0232292	0.00776082	0.00313542	-0.0760737	-0.188446	0.104203	-0.0230131	0.000922862	-0.0387371	0.282799	-0.0101718	0.257184	-0.0296335	0.878306	-0.273008	0.75752	-0.878306	0.238495	0.675161	-0.878306	0.197046	0.560843	0.827294	-0.878306	-0.135562	0.984375	1	-0.711585	-0.195378	-0.723407	0.428776	-0.0854266	0.417643	-0.560843	0.428776	-0.711585
o_TorqueVolumeDensity	-0.739131	0.277269	0.00707167	-0.00541871	0.106303	-0.00924472	-0.00222141	0.137976	0.117773	-0.00851623	0.0123478	-0.0257146	0.119448	-0.0405051	0.00405596	0.00047064	-0.0749117	-0.251303	0.118074	-0.028291	0.00361402	-0.0417511	0.339909	-0.014744	0.288997	-0.0246774	0.827523	-0.225585	0.69988	-0.827523	0.198024	0.618419	-0.827523	0.148048	0.502622	0.792713	-0.827523	-0.0713096	1	0.984375	-0.666395	-0.167032	-0.67608	0.354695	-0.0325038	0.343783	-0.502622	0.354695	-0.666395
o_Op3_ipk	0.492644	-0.0040607	0.06166	-0.0624421	0.310786	-0.0166613	-0.0348756	0.0791785	0.101329	0.0031719	0.056154	0.0229268	0.101139	-0.0895308	0.0647351	-0.0151687	-0.0719333	-0.373308	0.0821418	-0.0431082	0.0202953	-0.0106649	0.264546	-0.0440565	0.0716582	-0.0492766	-0.399413	0.764613	-0.604064	0.399413	-0.585458	-0.612801	0.399413	-0.72408	-0.740223	-0.257121	0.399413	1	-0.0713096	-0.135562	0.593996	0.650805	0.583919	-0.782734	0.397129	-0.782746	0.740223	-0.782734	0.593996
o_Op3_copper_area	0.858779	-0.440922	0.0100011	-0.024783	-0.0470862	-0.00364612	-0.000290216	0.019513	0.0141965	0.0385793	-0.00341652	0.0338069	0.0280404	-0.0237564	-0.0143673	-0.00811854	0.0237618	0.0149924	0.00974459	-0.00446518	-0.0011049	0.00898874	-0.034543	-0.00851229	-0.233486	0.0272672	-1	0.487816	-0.934998	1	-0.410907	-0.860072	1	-0.41499	-0.785191	-0.8957	1	0.399413	-0.827523	-0.878306	0.810848	0.470565	0.806922	-0.715667	0.248265	-0.706192	0.785191	-0.715667	0.810848
o_Op3_Jrms	-0.746284	0.426424	0.00843156	0.00401636	0.0805433	0.00387572	-0.00832015	0.00751182	0.0144093	-0.0279307	-0.0173805	-0.0343715	-0.00685781	0.00538152	0.0332585	0.000118196	-0.0384111	-0.0701131	0.0167818	-0.00898973	0.00832498	-0.0107331	0.0870675	0.0112229	0.237589	0.367161	0.8957	-0.364925	0.818218	-0.8957	0.0750309	0.850322	-0.8957	0.296282	0.647243	1	-0.8957	-0.257121	0.792713	0.827294	-0.692228	-0.354173	-0.690072	0.54088	-0.134098	0.528474	-0.647243	0.54088	-0.692228
o_Op2_max_temp	-0.83861	0.10508	-0.0232096	0.0405603	-0.358294	0.0010854	0.000278325	-0.0747927	-0.0414307	-0.0220663	-0.0145894	-0.0225466	-0.102493	0.0623629	-0.00170035	0.00703868	0.0105198	0.274287	-0.0330676	0.0310577	-0.00287141	0.0136735	-0.0944418	0.046663	0.103375	0.002181	0.785191	-0.877637	0.937249	-0.785191	0.701716	0.921709	-0.785191	0.839072	1	0.647243	-0.785191	-0.740223	0.502622	0.560843	-0.931869	-0.749241	-0.925249	0.943269	-0.404704	0.937439	-1	0.943269	-0.931869
o_Op2_ipk	-0.53494	-0.0828581	-0.0144664	0.0469407	-0.469762	-0.013009	0.00869191	-0.103881	-0.043414	-0.0203107	-0.0267359	-0.0157856	-0.104579	0.0582845	-0.00010112	0.00099564	-0.0186723	0.641284	-0.00103569	0.0248024	-0.00723716	-0.00824729	0.0358042	0.0627562	0.0255051	0.00626388	0.41499	-0.791952	0.628132	-0.41499	0.635153	0.733888	-0.41499	1	0.839072	0.296282	-0.41499	-0.72408	0.148048	0.197046	-0.67611	-0.550981	-0.6801	0.73227	-0.421253	0.72645	-0.839072	0.73227	-0.67611
o_Op2_copper_area	0.858779	-0.440922	0.0100011	-0.024783	-0.0470862	-0.00364612	-0.000290216	0.019513	0.0141965	0.0385793	-0.00341652	0.0338069	0.0280404	-0.0237564	-0.0143673	-0.00811854	0.0237618	0.0149924	0.00974459	-0.00446518	-0.0011049	0.00898874	-0.034543	-0.00851229	-0.233486	0.0272672	-1	0.487816	-0.934998	1	-0.410907	-0.860072	1	-0.41499	-0.785191	-0.8957	1	0.399413	-0.827523	-0.878306	0.810848	0.470565	0.806922	-0.715667	0.248265	-0.706192	0.785191	-0.715667	0.810848
o_Op2_Jrms	-0.825639	0.256441	-0.011082	0.0296725	-0.187851	0.0029044	0.000753614	-0.0520041	-0.0266503	-0.0224592	-0.0253663	-0.0388818	-0.075563	0.0421062	0.0169236	0.00296823	-0.0219025	0.275069	-0.00439839	0.0207076	-0.00503077	0.00307731	0.0335022	0.0478081	0.157943	0.259857	0.860072	-0.702359	0.930496	-0.860072	0.408297	1	-0.860072	0.733888	0.921709	0.850322	-0.860072	-0.612801	0.618419	0.675161	-0.863759	-0.580573	-0.862175	0.806098	-0.329684	0.79472	-0.921709	0.806098	-0.863759
o_Op1_ipk	-0.57546	-0.0997936	-0.0152864	0.0275824	-0.428287	-0.0159594	0.000909228	-0.0719092	-0.0662428	-0.0245251	0.0187551	0.00138993	-0.0983278	0.06731	-0.0393663	-0.000270815	0.00961205	0.134792	-0.0609465	0.0260117	0.0122557	0.00425717	-0.156565	0.00720516	-0.120167	-0.580247	0.410907	-0.780511	0.598835	-0.410907	1	0.408297	-0.410907	0.635153	0.701716	0.0750309	-0.410907	-0.585458	0.198024	0.238495	-0.685407	-0.669099	-0.678191	0.755878	-0.383264	0.761615	-0.701716	0.755878	-0.685407
o_Op1_copper_area	0.858779	-0.440922	0.0100011	-0.024783	-0.0470862	-0.00364612	-0.000290216	0.019513	0.0141965	0.0385793	-0.00341652	0.0338069	0.0280404	-0.0237564	-0.0143673	-0.00811854	0.0237618	0.0149924	0.00974459	-0.00446518	-0.0011049	0.00898874	-0.034543	-0.00851229	-0.233486	0.0272672	-1	0.487816	-0.934998	1	-0.410907	-0.860072	1	-0.41499	-0.785191	-0.8957	1	0.399413	-0.827523	-0.878306	0.810848	0.470565	0.806922	-0.715667	0.248265	-0.706192	0.785191	-0.715667	0.810848
o_Op1_Jrms	-0.919766	0.265852	-0.0126407	0.0291344	-0.174288	0.00187344	0.000818524	-0.0489006	-0.0385643	-0.0306663	-0.00356968	-0.0312437	-0.0710572	0.0432687	-0.00171671	0.0115833	-0.00575783	0.0626611	-0.0357391	0.0239803	-0.00684306	0.00592583	-0.0539398	0.0208742	0.104263	0.0169687	0.934998	-0.753969	1	-0.934998	0.598835	0.930496	-0.934998	0.628132	0.937249	0.818218	-0.934998	-0.604064	0.69988	0.75752	-0.945039	-0.681181	-0.937915	0.88477	-0.33681	0.877489	-0.937249	0.88477	-0.945039
o_Maxtorque	0.70021	0.151232	0.00937534	-0.0282337	0.547593	0.00720131	0.00234873	0.0820414	0.0724188	0.00641658	0.00768599	-0.00168846	0.127418	-0.0624682	0.0264669	-0.0177073	-0.0241093	-0.166889	0.069634	-0.0299662	0.00244386	-0.0122586	0.211364	-0.0345851	0.147728	-0.0147818	-0.487816	1	-0.753969	0.487816	-0.780511	-0.702359	0.487816	-0.791952	-0.877637	-0.364925	0.487816	0.764613	-0.225585	-0.273008	0.855469	0.847026	0.844605	-0.886811	0.386344	-0.887359	0.877637	-0.886811	0.855469
o_LabCurrentJ	-0.858779	0.440922	-0.0100011	0.024783	0.0470862	0.00364612	0.000290216	-0.019513	-0.0141965	-0.0385793	0.00341652	-0.0338069	-0.0280404	0.0237564	0.0143673	0.00811854	-0.0237618	-0.0149924	-0.00974459	0.00446518	0.0011049	-0.00898874	0.034543	0.00851229	0.233486	-0.0272672	1	-0.487816	0.934998	-1	0.410907	0.860072	-1	0.41499	0.785191	0.8957	-1	-0.399413	0.827523	0.878306	-0.810848	-0.470565	-0.806922	0.715667	-0.248265	0.706192	-0.785191	0.715667	-0.810848
i_TurnLab	0.0235846	-0.0205608	0.0054289	0.00568523	-0.0174558	0.00612869	-0.0108864	0.0108132	0.0131928	0.0161267	-0.0353736	-0.0124423	-0.00797075	-0.0212644	0.025568	0.0056045	0.0123422	0.0113781	0.00980423	-0.00088093	-0.0195288	0.0202229	-0.00899151	0.0235566	-0.0107123	1	-0.0272672	-0.0147818	0.0169687	0.0272672	-0.580247	0.259857	0.0272672	0.00626388	0.002181	0.367161	0.0272672	-0.0492766	-0.0246774	-0.0296335	0.00528004	-0.00871945	0.00737127	-0.0715444	0.124692	-0.0795874	-0.002181	-0.0715444	0.00528004
i_YtoT	-0.0193039	-0.0201468	-0.012286	0.0239815	-0.0108102	0.00579923	0.0301464	0.0148868	0.000287176	0.0210733	-0.00245048	-0.0139773	-0.0151879	0.00946949	0.018918	-0.0289046	0.00962854	0.0109661	0.0254172	-0.0042506	0.0179466	-0.00421672	0.0145832	-0.0102798	1	-0.0107123	0.233486	0.147728	0.104263	-0.233486	-0.120167	0.157943	-0.233486	0.0255051	0.103375	0.237589	-0.233486	0.0716582	0.288997	0.257184	-0.0228201	-0.00339238	-0.0140305	0.0466195	0.0327029	0.0432314	-0.103375	0.0466195	-0.0228201
L1_Bridge_Thickness	-0.0139742	0.00496979	0.00104589	0.00515755	-0.0137102	-0.0220574	-0.0237315	0.0113466	0.0514797	-0.020961	0.0282095	-0.0118918	-0.0017345	-0.0100174	-0.00959984	-0.0164164	0.0158255	-0.0034032	0.00824067	-0.0295061	-0.0305727	0.000719639	0.0130342	1	-0.0102798	0.0235566	0.00851229	-0.0345851	0.0208742	-0.00851229	0.00720516	0.0478081	-0.00851229	0.0627562	0.046663	0.0112229	-0.00851229	-0.0440565	-0.014744	-0.0101718	-0.0275619	0.0064882	-0.026762	0.0448856	0.0135308	0.0446446	-0.046663	0.0448856	-0.0275619
L1_Magnet_Bar_Width	-0.0200995	0.0188429	0.00934718	-0.053955	0.0610287	-0.0292568	0.0399594	0.0317022	-0.000331612	0.00436254	0.00271056	-0.00625994	0.0186657	0.00548281	-0.0336588	-0.00979913	-0.0229295	0.0641229	-0.0101467	0.0133296	-0.0019751	0.0161583	1	0.0130342	0.0145832	-0.00899151	0.034543	0.211364	-0.0539398	-0.034543	-0.156565	0.0335022	-0.034543	0.0358042	-0.0944418	0.0870675	-0.034543	0.264546	0.339909	0.282799	0.00634425	0.338112	-0.0119863	-0.352755	0.106933	-0.364482	0.0944418	-0.352755	0.00634425
L1_Magnet_Post	0.00769189	-0.0200938	-0.0135521	-0.00924337	-0.0201789	-0.0163947	0.0134153	0.00285352	-0.0305383	-0.00113994	-0.00852356	-0.0172593	-0.000714364	-0.0114239	-0.00233773	-0.007258	-0.0172202	-0.0264972	-0.0248946	-0.0151087	0.0286507	1	0.0161583	0.000719639	-0.00421672	0.0202229	-0.00898874	-0.0122586	0.00592583	0.00898874	0.00425717	0.00307731	0.00898874	-0.00824729	0.0136735	-0.0107331	0.00898874	-0.0106649	-0.0417511	-0.0387371	-0.00166512	-0.0159894	0.00211967	0.0188725	0.0480191	0.0192778	-0.0136735	0.0188725	-0.00166512
L1_Magnet_Segments	0.00892061	-0.00199566	0.0202859	0.0258446	-0.0064249	-0.00693684	0.0101601	-0.00369431	-0.0129894	-0.00311352	0.0103984	-0.021252	0.0175769	0.0076192	0.00549122	-0.0126944	-0.00158162	-0.010054	0.012674	-0.00301696	1	0.0286507	-0.0019751	-0.0305727	0.0179466	-0.0195288	0.0011049	0.00244386	-0.00684306	-0.0011049	0.0122557	-0.00503077	-0.0011049	-0.00723716	-0.00287141	0.00832498	-0.0011049	0.0202953	0.00361402	0.000922862	0.0105797	-0.00375859	0.0110531	0.00477283	0.068306	0.00522416	0.00287141	0.00477283	0.0105797
L1_Magnet_Separation	-0.00406839	0.00267462	0.0178586	0.00160835	-0.0192012	-0.025135	0.0272305	0.00493966	0.0207724	-0.00211055	-0.0047925	0.00566243	0.0306171	0.00498151	-0.00151349	-0.0326446	-0.00775331	-0.011359	-0.0178899	1	-0.00301696	-0.0151087	0.0133296	-0.0295061	-0.0042506	-0.00088093	0.00446518	-0.0299662	0.0239803	-0.00446518	0.0260117	0.0207076	-0.00446518	0.0248024	0.0310577	-0.00898973	-0.00446518	-0.0431082	-0.028291	-0.0230131	-0.015605	-0.0478229	-0.012348	0.0395017	-0.0507846	0.0394183	-0.0310577	0.0395017	-0.015605
L1_Magnet_Thickness	0.00632575	-0.0089942	0.0190669	-0.00121075	-0.000325532	-0.0056484	0.022095	0.00519349	-0.0081814	0.0266094	-0.00449647	0.0168169	0.00190035	-0.0137945	-0.00339453	0.0163495	-0.00719112	-0.0112995	1	-0.0178899	0.012674	-0.0248946	-0.0101467	0.00824067	0.0254172	0.00980423	-0.00974459	0.069634	-0.0357391	0.00974459	-0.0609465	-0.00439839	0.00974459	-0.00103569	-0.0330676	0.0167818	0.00974459	0.0821418	0.118074	0.104203	0.00383906	0.377016	-0.0299301	-0.0724839	0.0482931	-0.0741915	0.0330676	-0.0724839	0.00383906
L1_Pole_Arc	0.000242473	-0.0208507	0.0035838	0.0217909	-0.0186518	-0.0118343	-0.00276081	-0.00537365	-0.0242755	-0.00732666	-0.0218862	-0.00748438	0.0265304	0.0176283	0.0218516	-0.00984848	0.0166295	1	-0.0112995	-0.011359	-0.010054	-0.0264972	0.0641229	-0.0034032	0.0109661	0.0113781	-0.0149924	-0.166889	0.0626611	0.0149924	0.134792	0.275069	0.0149924	0.641284	0.274287	-0.0701131	0.0149924	-0.373308	-0.251303	-0.188446	-0.0205709	0.0381395	-0.0373271	0.195656	-0.341877	0.190003	-0.274287	0.195656	-0.0205709
L1_Pole_V_angle	0.0210498	-0.02098	0.0137906	-0.00578099	0.0144879	-0.00786489	-0.00615918	0.00917417	-0.0234008	-0.00344093	0.0093233	-0.00819025	-0.0225524	-0.0265372	0.00229544	0.00277082	1	0.0166295	-0.00719112	-0.00775331	-0.00158162	-0.0172202	-0.0229295	0.0158255	0.00962854	0.0123422	-0.0237618	-0.0241093	-0.00575783	0.0237618	0.00961205	-0.0219025	0.0237618	-0.0186723	0.0105198	-0.0384111	0.0237618	-0.0719333	-0.0749117	-0.0760737	0.0206071	-0.193009	0.0437186	0.0876978	-0.0795735	0.0896052	-0.0105198	0.0876978	0.0206071
L1_Web_Length	-0.0127483	0.00250653	0.0101336	-0.0053015	-0.0144343	-0.00455003	0.00248204	0.00223626	0.017561	-0.00680819	0.00741169	-0.000983838	0.0340857	0.00766453	0.00971249	1	0.00277082	-0.00984848	0.0163495	-0.0326446	-0.0126944	-0.007258	-0.00979913	-0.0164164	-0.0289046	0.0056045	0.00811854	-0.0177073	0.0115833	-0.00811854	-0.000270815	0.00296823	-0.00811854	0.00099564	0.00703868	0.000118196	-0.00811854	-0.0151687	0.00047064	0.00313542	-0.0194353	-0.00594997	-0.0184525	0.0127826	-0.0302228	0.0124873	-0.00703868	0.0127826	-0.0194353
L1_Web_Thickness	-0.00255312	0.0126445	-0.000858578	0.00768787	0.0395567	-0.0119155	-0.0050727	-0.00484614	-0.010318	-0.00797638	0.0255023	-0.0092786	0.00296993	0.00839696	1	0.00971249	0.00229544	0.0218516	-0.00339453	-0.00151349	0.00549122	-0.00233773	-0.0336588	-0.00959984	0.018918	0.025568	0.0143673	0.0264669	-0.00171671	-0.0143673	-0.0393663	0.0169236	-0.0143673	-0.00010112	-0.00170035	0.0332585	-0.0143673	0.0647351	0.00405596	0.00776082	0.0159904	0.0201816	0.0151384	-0.0118798	-0.0185734	-0.0128161	0.00170035	-0.0118798	0.0159904
L2_Bridge_Thickness	-0.0317655	-0.00540709	-0.0314922	-0.00962532	-0.0152659	0.0021177	-0.00707033	0.00808188	0.00748741	-0.0118319	-0.0126674	0.0150106	-0.00640335	1	0.00839696	0.00766453	-0.0265372	0.0176283	-0.0137945	0.00498151	0.0076192	-0.0114239	0.00548281	-0.0100174	0.00946949	-0.0212644	0.0237564	-0.0624682	0.0432687	-0.0237564	0.06731	0.0421062	-0.0237564	0.0582845	0.0623629	0.00538152	-0.0237564	-0.0895308	-0.0405051	-0.0232292	-0.0319376	-0.0414041	-0.0329905	0.0730455	-0.0256262	0.0740186	-0.0623629	0.0730455	-0.0319376
L2_Magnet_Bar_Width	0.03942	0.0312092	-0.0166844	-0.00517382	0.0215675	-0.000559153	-0.00564241	0.023859	-0.0160327	0.00585761	0.012768	-0.00297878	1	-0.00640335	0.00296993	0.0340857	-0.0225524	0.0265304	0.00190035	0.0306171	0.0175769	-0.000714364	0.0186657	-0.0017345	-0.0151879	-0.00797075	-0.0280404	0.127418	-0.0710572	0.0280404	-0.0983278	-0.075563	0.0280404	-0.104579	-0.102493	-0.00685781	0.0280404	0.101139	0.119448	0.0886527	0.0534582	0.128056	0.0481381	-0.122125	0.0512276	-0.123313	0.102493	-0.122125	0.0534582
L2_Magnet_Post	0.0147815	-0.0253236	-0.0143586	0.00232826	0.00151876	0.00657394	-0.0116463	-0.000448467	-0.0188591	0.0127954	0.00932563	1	-0.00297878	0.0150106	-0.0092786	-0.000983838	-0.00819025	-0.00748438	0.0168169	0.00566243	-0.021252	-0.0172593	-0.00625994	-0.0118918	-0.0139773	-0.0124423	-0.0338069	-0.00168846	-0.0312437	0.0338069	0.00138993	-0.0388818	0.0338069	-0.0157856	-0.0225466	-0.0343715	0.0338069	0.0229268	-0.0257146	-0.0240562	0.0184651	-0.00615909	0.0173837	-0.0115514	0.0608219	-0.0108743	0.0225466	-0.0115514	0.0184651
L2_Magnet_Segments	-0.00457247	-0.0140632	0.0110952	-0.00214211	0.0205499	-0.00523712	0.0329849	0.0142527	0.00107092	0.0137147	1	0.00932563	0.012768	-0.0126674	0.0255023	0.00741169	0.0093233	-0.0218862	-0.00449647	-0.0047925	0.0103984	-0.00852356	0.00271056	0.0282095	-0.00245048	-0.0353736	0.00341652	0.00768599	-0.00356968	-0.00341652	0.0187551	-0.0253663	-0.00341652	-0.0267359	-0.0145894	-0.0173805	-0.00341652	0.056154	0.0123478	0.00908548	0.00175444	0.00414528	0.00196732	-0.021431	0.0285497	-0.0210761	0.0145894	-0.021431	0.00175444
L2_Magnet_Separation	0.0280704	-0.018888	-0.0083012	-0.00947074	-0.00662052	-0.0144896	-0.0153004	0.00396718	0.0195402	1	0.0137147	0.0127954	0.00585761	-0.0118319	-0.00797638	-0.00680819	-0.00344093	-0.00732666	0.0266094	-0.00211055	-0.00311352	-0.00113994	0.00436254	-0.020961	0.0210733	0.0161267	-0.0385793	0.00641658	-0.0306663	0.0385793	-0.0245251	-0.0224592	0.0385793	-0.0203107	-0.0220663	-0.0279307	0.0385793	0.0031719	-0.00851623	-0.0124998	0.0191544	0.0173888	0.0169842	-0.0266882	-0.0208861	-0.026321	0.0220663	-0.0266882	0.0191544
L2_Magnet_Thickness	0.00561174	-0.0186275	-0.00197	-0.0217076	0.00280498	0.0169424	0.00100172	-0.0286807	1	0.0195402	0.00107092	-0.0188591	-0.0160327	0.00748741	-0.010318	0.017561	-0.0234008	-0.0242755	-0.0081814	0.0207724	-0.0129894	-0.0305383	-0.000331612	0.0514797	0.000287176	0.0131928	-0.0141965	0.0724188	-0.0385643	0.0141965	-0.0662428	-0.0266503	0.0141965	-0.043414	-0.0414307	0.0144093	0.0141965	0.101329	0.117773	0.100532	0.00143356	0.185525	-0.0162545	-0.0518051	0.0330112	-0.0529066	0.0414307	-0.0518051	0.00143356
