Name	Param_Type	Reference_value	Constant	Modifiable	Unit	Removeable	Operation	Det_Type	Det_Kind	Det_Range	Ran_Type	Ran_Has_CoV	Ran_CoV	Ran_Params	Ran_Moments
"u_YtoT"	Optimization	2.5	0	0	""	1	""	REAL	Continuous	"2.25:3"					
"i_Active_Length"	Optimization	130	0	0	""	1	""	REAL	Continuous	"117:143"					
"i_Gear_Ratio"	Optimization	7	0	0	""	1	""	REAL	Continuous	"7:9"					
"i_Line_Current_RMS"	Optimization	500	0	0	""	1	""	REAL	Continuous	"450:550"					
"i_Slot_Op_Ratio"	Optimization	0.8	0	0	""	1	""	REAL	Continuous	"0.5:0.8"					
"i_Split_Ratio"	Optimization	0.77	0	0	""	1	""	REAL	Continuous	"0.66:0.77"					
"i_Stator_OD"	Optimization	400	0	0	""	1	""	REAL	Continuous	"360:440"					
"i_Tooth_Width_Ratio"	Optimization	0.6	0	0	""	1	""	REAL	Continuous	"0.5:0.65"					
"i_Turns_Coil"	Optimization	11	0	0	""	1	""	REAL	Continuous	"9.9:12.1"					
"L1_Bridge_Thickness"	Optimization	1.8	0	0	""	1	""	REAL	Continuous	"1.5:2"					
"L1_Magnet_Bar_Width"	Optimization	0.92	0	0	""	1	""	REAL	Continuous	"0.8:0.9"					
"L1_Magnet_Post"	Optimization	1.5	0	0	""	1	""	REAL	Continuous	"1.5:2"					
"L1_Magnet_Separation"	Optimization	6.2	0	0	""	1	""	REAL	Continuous	"1:8"					
"L1_Magnet_Thickness"	Optimization	5.2	0	0	""	1	""	REAL	Continuous	"4:7"					
"L1_Pole_Arc"	Optimization	0.9	0	0	""	1	""	REAL	Continuous	"0.5:0.9"					
"L1_Pole_V_angle"	Optimization	112	0	0	""	1	""	REAL	Continuous	"90:130"					
"L1_Web_Length"	Optimization	0.104	0	0	""	1	""	REAL	Continuous	"0.1:0.7"					
"L1_Web_Thickness"	Optimization	0.15	0	0	""	1	""	REAL	Continuous	"0.2:0.9"					
"L2_Bridge_Thickness"	Optimization	1.5	0	0	""	1	""	REAL	Continuous	"1.5:2"					
"L2_Magnet_Bar_Width"	Optimization	0.8	0	0	""	1	""	REAL	Continuous	"0.24:0.8"					
"L2_Magnet_Thickness"	Optimization	5.4	0	0	""	1	""	REAL	Continuous	"4:7"					
"L2_Pole_Arc"	Optimization	0.25	0	0	""	1	""	REAL	Continuous	"0.35:0.8"					
"L2_Pole_V_angle"	Optimization	180	0	0	""	1	""	REAL	Continuous	"180:181"					
"L2_Web_Thickness"	Optimization	0.69	0	0	""	1	""	REAL	Continuous	"0.1:0.7"					
