reference
time	Bearing 3. rear bearing up[degC]	Bearing 4. rear bearing down[degC]	5. ambient temp[degC]	Winding 6. NWCend[degC]	Winding 7. NWC end2[degC]	Winding 8. V[degC]	Winding 9. U[degC]	Winding 12. u slot Inner[degC]	Winding 13. v slot Inner [degC]	Winding 14. w slot Inner[degC]	Winding 15. WC end coil upper[degC]	Winding 16. WC end coil lower[degC]
0	55.114061	55.114061	66.458149	79.370532	96.442817	101.047379	99.924914	88.694274	89.929671	91.389029	88.580117	88.019211
0.0999999999999943	55.114061	55.114061	66.425028	79.393564	96.432157	101.036719	99.913684	88.683043	89.907836	91.367819	88.602579	88.030442
0.200000000000003	55.114061	55.114061	66.391336	79.416025	96.420926	101.025489	99.902453	88.671813	89.885374	91.345358	88.62504	88.041672
0.299999999999997	55.114061	55.114061	66.357644	79.438486	96.409696	101.014258	99.891222	88.660582	89.862913	91.322896	88.647501	88.052903
0.400000000000006	55.114061	55.114061	66.323953	79.460947	96.398465	101.003028	99.879992	88.649352	89.840452	91.300435	88.669962	88.064133
0.5	55.114061	55.114061	66.290261	79.483408	96.387235	100.991797	99.868761	88.638121	89.817991	91.277974	88.692423	88.075364
0.599999999999994	55.114061	55.114061	66.256569	79.50587	96.376004	100.980566	99.85753	88.62689	89.79553	91.255513	88.714885	88.086595
0.700000000000003	55.114061	55.114061	66.222877	79.528331	96.364773	100.969336	99.8463	88.61566	89.773068	91.233052	88.737346	88.097825
0.799999999999997	55.114061	55.114061	66.189186	79.550792	96.353543	100.958105	99.835069	88.604429	89.750607	91.21059	88.759807	88.109056
0.900000000000006	55.114061	55.114061	66.155494	79.573253	96.342312	100.946875	99.823839	88.593198	89.728146	91.188129	88.782268	88.120286
1	55.114061	55.114061	66.121802	79.595714	96.331082	100.935644	99.812608	88.581968	89.705685	91.165668	88.804729	88.131517
1.09999999999999	55.114061	55.114061	66.088111	79.618175	96.319851	100.924414	99.801377	88.570737	89.693828	91.153812	88.816586	88.153352
1.2	55.114061	55.114061	66.054419	79.640636	96.308621	100.913183	99.790147	88.559507	89.682598	91.142581	88.827816	88.175813
1.3	55.114061	55.114061	66.020727	79.663097	96.29739	100.901953	99.778917	88.548276	89.671367	91.131351	88.839047	88.198274
1.40000000000001	55.114061	55.114061	65.987036	79.685558	96.28616	100.890722	99.767686	88.537046	89.660137	91.12012	88.850277	88.220735
1.5	55.114061	55.114061	65.953344	79.708019	96.274929	100.879491	99.756456	88.525815	89.648906	91.10889	88.861508	88.243196
1.59999999999999	55.114061	55.114061	65.919653	79.73048	96.263699	100.868261	99.745225	88.514585	89.637676	91.097659	88.872738	88.265657
1.7	55.114061	55.114061	65.885961	79.752941	96.252468	100.85703	99.733995	88.503355	89.626445	91.086429	88.883969	88.288118
1.8	55.114061	55.114061	65.85227	79.775402	96.241238	100.8458	99.722764	88.492124	89.615215	91.075198	88.895199	88.310579
1.90000000000001	55.114061	55.114061	65.818578	79.797863	96.230007	100.834569	99.711534	88.480894	89.603984	91.063968	88.90643	88.33304
2	55.114061	55.114061	65.784887	79.820325	96.218776	100.823339	99.700303	88.469663	89.592754	91.052737	88.91766	88.355501
2.09999999999999	55.114061	55.114061	65.751195	79.832128	96.207546	100.812108	99.689073	88.458432	89.581523	91.030903	88.939494	88.367359
2.2	55.114061	55.114061	65.717503	79.843358	96.196315	100.800878	99.677842	88.447202	89.570293	91.008442	88.961955	88.37859
2.3	55.114061	55.114061	65.683811	79.854589	96.185085	100.789647	99.666611	88.435971	89.559062	90.985981	88.984417	88.38982
2.40000000000001	55.114061	55.114061	65.650119	79.865819	96.173854	100.778416	99.655381	88.42474	89.547831	90.96352	89.006878	88.401051
2.5	55.114061	55.114061	65.616427	79.87705	96.162623	100.767186	99.64415	88.41351	89.536601	90.941058	89.029339	88.412282
2.59999999999999	55.114061	55.114061	65.582735	79.888281	96.151393	100.755955	99.632919	88.402279	89.52537	90.918597	89.0518	88.423512
2.7	55.114061	55.114061	65.549044	79.899511	96.140162	100.744725	99.621689	88.391048	89.514139	90.896136	89.074262	88.434743
2.8	55.114061	55.114061	65.515352	79.910742	96.128931	100.733494	99.610458	88.379818	89.502909	90.873675	89.096723	88.445973
2.90000000000001	55.114061	55.114061	65.48166	79.921973	96.117701	100.722263	99.599227	88.368587	89.491678	90.851213	89.119184	88.457204
3	55.114061	55.114061	65.447968	79.933203	96.10647	100.711033	99.587997	88.357356	89.480448	90.828752	89.141645	88.468435
3.09999999999999	55.114061	55.114061	65.403618	79.955092	96.09524	100.689144	99.576766	88.335496	89.458614	90.816894	89.153504	88.479665
3.2	55.114061	55.114061	65.358696	79.977553	96.084009	100.666683	99.565535	88.313035	89.436153	90.805663	89.164734	88.490896
3.3	55.114061	55.114061	65.313773	80.000014	96.072778	100.644222	99.554305	88.290573	89.413692	90.794433	89.175965	88.502126
3.40000000000001	55.114061	55.114061	65.268851	80.022475	96.061548	100.62176	99.543074	88.268112	89.39123	90.783202	89.187195	88.513357
3.5	55.114061	55.114061	65.223928	80.044937	96.050317	100.599299	99.531844	88.245651	89.368769	90.771971	89.198426	88.524588
3.59999999999999	55.114061	55.114061	65.179006	80.067398	96.039087	100.576838	99.520613	88.22319	89.346308	90.760741	89.209657	88.535818
3.7	55.114061	55.114061	65.134084	80.089859	96.027856	100.554377	99.509382	88.200729	89.323847	90.74951	89.220887	88.547049
3.8	55.114061	55.114061	65.089161	80.11232	96.016625	100.531916	99.498152	88.178268	89.301386	90.73828	89.232118	88.55828
3.90000000000001	55.114061	55.114061	65.044239	80.134782	96.005395	100.509454	99.486921	88.155806	89.278924	90.727049	89.243349	88.56951
4	55.114061	55.114061	64.999316	80.157243	95.994164	100.486993	99.475691	88.133345	89.256463	90.715818	89.254579	88.580741
4.09999999999999	55.114061	55.114061	64.954394	80.179704	95.972276	100.47519	99.453831	88.121514	89.244605	90.693985	89.276412	88.591971
4.2	55.114061	55.114061	64.909472	80.202165	95.949815	100.463959	99.43137	88.110283	89.233374	90.671524	89.298873	88.603202
4.3	55.114061	55.114061	64.86455	80.224626	95.927354	100.452729	99.408909	88.099053	89.222144	90.649063	89.321334	88.614432
4.40000000000001	55.114061	55.114061	64.819628	80.247087	95.904893	100.441498	99.386448	88.087822	89.210913	90.626602	89.343795	88.625663
4.5	55.114061	55.114061	64.774706	80.269548	95.882432	100.430268	99.363987	88.076592	89.199683	90.604141	89.366256	88.636893
4.59999999999999	55.114061	55.114061	64.729783	80.292009	95.859971	100.419037	99.341526	88.065361	89.188452	90.58168	89.388717	88.648124
4.7	55.114061	55.114061	64.684861	80.31447	95.83751	100.407806	99.319065	88.054131	89.177222	90.559219	89.411178	88.659354
4.8	55.114061	55.114061	64.639939	80.336931	95.815049	100.396576	99.296604	88.0429	89.165991	90.536759	89.433639	88.670585
4.90000000000001	55.114061	55.114061	64.595017	80.359392	95.792587	100.385345	99.274142	88.03167	89.154761	90.514298	89.4561	88.681815
5	55.114061	55.114061	64.550095	80.381853	95.770126	100.374115	99.251681	88.020439	89.14353	90.491837	89.478561	88.693046
5.09999999999999	55.114061	55.114061	64.515829	80.404315	95.758322	100.362884	99.239849	88.009208	89.1323	90.479976	89.490421	88.704276
5.2	55.114061	55.114061	64.482138	80.426776	95.747091	100.351654	99.228618	87.997978	89.121069	90.468746	89.501652	88.715507
5.3	55.114061	55.114061	64.448446	80.449237	95.735861	100.340423	99.217387	87.986747	89.109838	90.457515	89.512882	88.726738
5.40000000000001	55.114061	55.114061	64.414754	80.471698	95.72463	100.329193	99.206157	87.975517	89.098608	90.446285	89.524113	88.737968
5.5	55.114061	55.114061	64.381063	80.494159	95.7134	100.317962	99.194926	87.964286	89.087377	90.435054	89.535344	88.749199
5.59999999999999	55.114061	55.114061	64.347371	80.51662	95.702169	100.306732	99.183696	87.953056	89.076146	90.423823	89.546574	88.760429
5.7	55.114061	55.114061	64.31368	80.539081	95.690939	100.295501	99.172465	87.941825	89.064916	90.412593	89.557805	88.77166
5.8	55.114061	55.114061	64.279988	80.561542	95.679708	100.284271	99.161235	87.930595	89.053685	90.401362	89.569035	88.782891
5.90000000000001	55.114061	55.114061	64.246296	80.584003	95.668478	100.27304	99.150004	87.919364	89.042455	90.390131	89.580266	88.794121
6	55.114061	55.114061	64.212605	80.606464	95.657247	100.261809	99.138774	87.908133	89.031224	90.378901	89.591497	88.805352
6.09999999999999	55.114061	55.114061	64.178913	80.628925	95.646016	100.239923	99.116915	87.896903	89.019993	90.357069	89.602727	88.816582
6.2	55.114061	55.114061	64.145221	80.651387	95.634786	100.217462	99.094454	87.885672	89.008763	90.334608	89.613958	88.827813
6.3	55.114061	55.114061	64.111529	80.673848	95.623555	100.195001	99.071993	87.874442	88.997532	90.312147	89.625188	88.839044
6.40000000000001	55.114061	55.114061	64.077838	80.696309	95.612325	100.17254	99.049532	87.863211	88.986302	90.289686	89.636419	88.850274
6.5	55.114061	55.114061	64.044146	80.71877	95.601094	100.150078	99.027071	87.85198	88.975071	90.267225	89.64765	88.861505
